Date,NSE_NO_OF_CONT,NSE_NO_OF_TRADE,NSE_NOTION_VAL,NSE_PR_VAL,BSE_TTL_TRADED_QTY,BSE_TTL_TRADED_VAL,BSE_AVG_TRADED_PRICE,BSE_NO_OF_TRADES,NSE_CAT_RETAIL_BUY_CR,NSE_CAT_RETAIL_SELL_CR,NSE_CAT_RETAIL_AVG_CR,NSE_EQ_RETAIL_BUY_CR,NSE_EQ_RETAIL_SELL_CR,NSE_EQ_RETAIL_AVG_CR,NSE_MRG_OUTSTANDING_BOD_LAKHS,NSE_MRG_FRESH_EXP_LAKHS,NSE_MRG_EXP_LIQ_LAKHS,NSE_MRG_NET_EOD_LAKHS,NSE_CLT_TOTAL_LONG_CONT,NSE_CLT_FUT_IDX_LONG,NSE_CLT_FUT_IDX_SHORT,NSE_REG_INVESTORS,BSE_REG_INVESTORS,NSE_MFSS_NOS_OF_SUB_ORDER,NSE_MFSS_TOT_SUB_AMT,NSE_MFSS_NOS_OF_RED_ORDER,NSE_MFSS_TOT_RED_AMT,NSE_MFSS_TOT_ORDER,NSE_EQUITY_TOTAL_NO_OF_ORDERS,NSE_FO_TOTAL_NO_OF_ORDERS,NSE_COMMODITY_TOTAL_NO_OF_ORDERS,NSE_MF_NO_OF_ORDERS,NSE_MF_NOTIONAL_TURNOVER,NSE_TBG_CM_NOS_OF_SECURITY_TRADES,NSE_TBG_CM_NOS_OF_TRADES,NSE_TBG_CM_TRADES_QTY,NSE_TBG_CM_TRADES_VALUES,NSE_TBG_FO_INDEX_FUT_QTY,NSE_TBG_FO_INDEX_FUT_VAL,NSE_TBG_FO_STOCK_FUT_QTY,NSE_TBG_FO_STOCK_FUT_VAL,NSE_TBG_FO_INDEX_OPT_QTY,NSE_TBG_FO_INDEX_OPT_VAL,NSE_TBG_FO_INDEX_OPT_PREM_VAL,NSE_TBG_FO_INDEX_OPT_PUT_CALL_RATIO,NSE_TBG_FO_STOCK_OPT_QTY,NSE_TBG_FO_STOCK_OPT_VAL,NSE_TBG_FO_STOCK_OPT_PREM_VAL,NSE_TBG_FO_STOCK_OPT_PUT_CALL_RATIO,NSE_TBG_FO_TOTAL_FO_QTY,NSE_TBG_FO_TOTAL_FO_VAL,NSE_TBG_FO_TOTAL_TRADED_PREM_VAL,NSE_TBG_FO_TOTAL_PUT_CALL_RATIO,NSE_TBG_COM_FUT_QTY,NSE_TBG_COM_FUT_VAL,NSE_TBG_COM_OPT_QTY,NSE_TBG_COM_OPT_VAL,NSE_TBG_COM_OPT_PREM,NSE_TBG_COM_TOTAL_QTY,NSE_TBG_COM_TOTAL_VAL
15-09-2025,99309369.00,34654121.00,180428021446070.81,352672026890.10,319174130.00,26186542237.97,38823110.3224,5921489.00,36442.93,34364.17,35403.55,36421.86,36259.37,36340.62,9489319.16,697620.57,628569.05,9558370.68,37474174,30900,28848,251015598,244653920,1176123,9486412248.18,101961,5838441102.14,1278084,,,,,,3183,30013484,48570.43,85104.65,55925,10608.99,871054,58758.88,93645560,17646826.4,29454.5,0.99,5663809,395975.74,5812.7,0.42,100236348,18112170.01,104635.07,0.95,4114,77.88775,802500,45074.741832,58.976332,806614,136.864082
16-09-2025,252929752.00,69217272.00,470475824502926.38,499170365812.55,469720840.00,38617214552.47,42623664.7813,7478385.00,45099.71,47281.16,46190.43,36865.28,37757.41,37311.35,9547685.01,668299.48,652564.92,9563419.57,87600932,49174,55783,251015598,244653920,121137,6099530962.16,50252,4587061490.68,171389,,,,,,3168,29676179,42442.88,91048.46,96183,18314.41,959784,66589.64,246947087,46616397.84,44205.76,0.92,5982665,431184.61,5711.27,0.42,253985719,47132486.5,134821.08,0.9,5067,95.324075,121708,7012.3030705,40.6730705,126775,135.9971455
17-09-2025,53449181.00,25632297.00,92461429737334.05,336533222024.05,1508619610.00,124820498348.63,48657277.7272,18733899.00,43030.54,44384.45,43707.49,40819.23,41448.71,41133.97,9557271.75,747839.02,706150.17,9598960.59,20903831,46419,51341,251015598,244653920,125949,4784426721.27,63519,4130458380.47,189468,,,,,,3191,32583231,46604.07,101041.26,89088,17099.06,1166098,80924.59,45493292,8670482.02,26040.2,0.9,7955889,575660.95,7613.12,0.41,54704367,9344166.62,131676.97,0.8,5672,110.586327,74418,4260.986456,15.130956,80090,125.717283
18-09-2025,63936891.00,30102701.00,113736695471415.09,326229861065.90,7062206175.00,585768699638.34,53692680.0645,60226414.00,42229.07,43596.94,42913.01,38116.14,38396.09,38256.11,9598960.37,720849.05,678603.24,9641206.19,21788311,54509,58398,251015598,244653920,140914,6372962486.90,52919,4101816458.72,193833,,,,,,3148,29868739,42768.19,97994.78,107766,20733.51,1198319,84459.41,56912637,10859178.15,26029.5,1.07,7024254,514491.39,6593.49,0.42,65242976,11478862.46,137815.91,0.97,5283,125.821245,15030,878.081291,20.915291,20313,146.736536
19-09-2025,103020146.00,44964675.00,187155116044586.84,452045787543.25,349755690.00,29005035605.16,36378634.2075,7010745.00,51816.75,49018.18,50417.46,43258.18,44496.06,43877.12,9641206.19,712492.11,719895.22,9633803.07,36940677,56241,51633,251015598,244653920,103939,6239563551.42,50617,2438255288.31,154556,,,,,,3139,33133640,67461.31,138903.11,105799,20260.82,1459803,102880.33,95193393,18138647.36,37471.99,1.12,7826753,576864.25,7732.59,0.44,104585748,18838652.76,168345.73,1.05,4129,77.453332,25281,1446.035429,37.243429,29410,114.696761
22-09-2025,141922647.00,51153715.00,259065902482366.19,486626970973.00,480232185.00,39681476223.70,39001750.1118,8985233.00,52504.00,52123.32,52313.66,43232.20,41497.39,42364.79,9622766.54,780773.66,648052.11,9755488.09,49591653,48605,54354,251015598,244653920,802288,9135020904.18,105849,5750547035.99,908137,,,,,,3210,33439579,42622.77,103101.44,96768,18493.49,1575533,110169.16,132869990,25253414.44,40277.45,1.02,9052657,653175.81,8385.25,0.47,143594948,26035252.9,177325.35,0.98,5765,106.155457,24187,1382.332647,32.376647,29952,138.532104
23-09-2025,335843878.00,99404483.00,625366196459271.38,693165131827.25,610307480.00,50270442663.87,44144698.1150,11393833.00,60509.11,59302.82,59905.97,39947.37,38802.14,39374.76,9755488.09,687177.94,620701.54,9821964.49,106478946,58304,56490,251015598,244653920,107184,6366894531.51,50213,4686771970.50,157397,,,,,,3144,32074909,45169.15,105317.21,112622,21474.79,1524952,106466.25,326836168,61875211.51,61870.96,0.97,9007710,661408.14,7445.56,0.48,337481452,62664560.69,197257.56,0.95,4474,83.2167633,20049,1163.660892,26.174892,24523,109.3916553
24-09-2025,71342994.00,34366877.00,124932092548782.09,403501459716.90,2264150230.00,185174398220.18,46616003.6782,29233326.00,52309.46,49326.58,50818.02,37747.64,35071.53,36409.58,9821964.49,683242.79,594449.38,9910757.91,27000632,68950,64742,251015598,244653920,126082,5313227213.08,63132,3998670613.81,189214,,,,,,3139,31103662,36952.33,94297.85,139763,26547.27,1766035,123425.93,62481484,11849785.55,33996.05,1.02,8861510,643423.71,6354.1,0.49,73248792,12643182.46,190323.35,0.94,4782,85.7360173,28426,2057.19454,33.52054,33208,119.2565573
25-09-2025,74436719.00,34960555.00,130090979830173.25,372627599569.25,7705462060.00,625011609838.55,57430224.4482,68740758.00,54392.32,51992.23,53192.28,33732.21,34167.52,33949.86,9910757.17,632225.69,585238.59,9957744.27,26127400,63982,61763,251015598,244653920,605044,8400884803.75,81397,4404237036.87,686441,,,,,,3131,30602077,36959.43,100235.74,178886,33792.4,4506662,312387.81,65259403,12354842.98,31493.13,0.95,9177316,654255.01,5769.63,0.53,79122267,13355278.2,383442.97,0.88,5261,94.083973,35971,2458.155866,39.692866,41232,133.776839
26-09-2025,131639349.00,55321945.00,233460195355212.50,596144160077.10,394239450.00,31985128108.83,43985411.5227,8143371.00,70630.87,68407.77,69519.32,34430.08,33274.06,33852.07,9957743.58,639244.02,634217.25,9962770.35,47642555,95799,81549,251015598,244653920,124418,7619163309.57,52767,2803818912.88,177185,,,,,,3151,35425733,46425.91,97349.73,258361,48171.2,4411147,303374.01,120436945,22552340.66,52662.69,1.1,11202404,793678.88,6951.72,0.64,136308857,23697564.75,411159.62,1.05,4643,82.660432,32800,2323.776782,42.786782,37443,125.447214
